,logFC,AveExpr,t,P.Value,adj.P.Val,B
TBILA,0.560474190233098,3.96414276965896,5.77166679336825,2.19162236514639E-07,2.15001050438083E-05,6.84515435044788
MAGOH2P,0.50133840483971,5.85946629646463,5.74146454539873,2.46472059847649E-07,2.37605467564818E-05,6.73257270357186
LINC02724,0.516780396405253,3.97041970968652,5.73159421869972,2.56433443337488E-07,2.41971031766209E-05,6.69470496733123
HAGLROS,0.565377766506429,5.14275112692569,5.65478365936181,3.48023675003412E-07,3.1125057103016E-05,6.40270422868874
PLAAT1,0.809673835027063,3.69575371007893,5.62716154806284,3.88245431774144E-07,3.40387303944032E-05,6.29815691252105
GANC,0.536358517877856,5.01473983426992,5.58621847804,4.55413034368246E-07,3.79519972909822E-05,6.14545469710003
ARSJ,1.03807606750404,5.24488456507845,5.5722989429294,4.81620764753955E-07,3.9286493810644E-05,6.09208151067067
FAM138F,0.500399868601184,5.10374237370424,5.48597939583875,6.73611269327719E-07,5.07917849789124E-05,5.7712214399777
FAM138A,0.500399868601184,5.10374237370424,5.48597939583875,6.73611269327719E-07,5.07917849789124E-05,5.7712214399777
FAM138D,0.500399868601184,5.10374237370424,5.48597939583875,6.73611269327719E-07,5.07917849789124E-05,5.7712214399777
FAM138E,0.500399868601184,5.10374237370424,5.48597939583875,6.73611269327719E-07,5.07917849789124E-05,5.7712214399777
FAM138B,0.500399868601184,5.10374237370424,5.48597939583875,6.73611269327719E-07,5.07917849789124E-05,5.7712214399777
FAM138C,0.500399868601184,5.10374237370424,5.48597939583875,6.73611269327719E-07,5.07917849789124E-05,5.7712214399777
FAM193B-DT,0.554017183976455,4.78372923262711,5.44443087429395,7.93691922676019E-07,5.77605406080793E-05,5.61470175218197
NPAS2,0.537616460232412,6.98370287553941,5.31680395547461,1.30181864479821E-06,8.70576558588927E-05,5.1422653959997
HDC,0.539683652844774,5.69607881927758,5.30445061688131,1.36554511232504E-06,8.94391885481362E-05,5.09667157099236
C4orf47,0.509929490970296,3.61464815392977,5.16312535267516,2.34879808270103E-06,0.000140984863891292,4.5794302950967
COTL1,0.580816399264293,4.81491261174255,5.11169319461095,2.85952951979452E-06,0.000165299501779972,4.39201930238897
RNASE7,0.617308759228429,3.68081621180573,5.07321159683217,3.31005391741973E-06,0.000184740828789524,4.25267301836404
DBNDD1,0.577633664837632,6.34565123169917,4.98299609409782,4.65664491295777E-06,0.000235679149015129,3.92778532664661
GTF2H2B,0.526396987940855,8.29024641646554,4.78900171583837,9.62087821973298E-06,0.000425939039911002,3.23813547910824
GTF2H2C_2,0.526396987940855,8.29024641646554,4.78900171583837,9.62087821973298E-06,0.000425939039911002,3.23813547910824
GTF2H2,0.526396987940855,8.29024641646554,4.78900171583837,9.62087821973298E-06,0.000425939039911002,3.23813547910824
SPATA5,0.904590977095101,5.07249821361489,4.75453177547104,1.09312037748769E-05,0.000474286392811417,3.11694151240806
CBS,0.803404904328715,6.81184873360637,4.62753348093141,1.74376145689867E-05,0.000695910822288107,2.67412410690833
FAM83A,0.655042472091851,4.50441890393054,4.57872847959899,2.08347377593292E-05,0.000794467080757708,2.50554769833353
ARPC3,0.577177810186874,6.02618075549288,4.54734617362129,2.33507024251968E-05,0.000862349572647941,2.39763319537341
POM121B,0.518644818092326,7.88529850339834,4.54030255072893,2.39547476172505E-05,0.000873074099326598,2.37346479594367
POM121C,0.518644818092326,7.88529850339834,4.54030255072893,2.39547476172505E-05,0.000873074099326598,2.37346479594367
POLG2,0.505759603126178,6.63300255942123,4.53548698151199,2.43764377639344E-05,0.000886991654518066,2.35695255047668
MUC5AC,1.05912382658315,6.97688286162777,4.42335285490875,3.65089701733441E-05,0.00121241738180922,1.97505908835001
NXF3,0.823419033039472,4.66179067137965,4.41232701570891,3.79786040669306E-05,0.00124925485076289,1.93778329020331
LRRCC1,0.681761935681932,5.3904601207253,4.37775391908716,4.29686420170698E-05,0.00136695527011161,1.8212255907256
SSTR5-AS1,0.870969449594718,5.17830495284274,4.3763720704624,4.31807647496161E-05,0.00137174386620428,1.81657724427305
ARHGEF39,0.579587309015455,5.68606891423854,4.33516689202308,4.99938329286449E-05,0.00154940679804186,1.67833765079751
TCF19,0.554922149934029,6.79680680647518,4.33317141080568,5.03489506465628E-05,0.00155725108603932,1.67166122501151
BAG4,0.819037979698751,4.65862953073704,4.21289363533278,7.69139900049246E-05,0.00218748102607876,1.27241755850633
GK,1.03367316267995,6.16237700612077,4.15839359746659,9.30132652008281E-05,0.00256350544895698,1.09361971766229
GK4P,1.03367316267995,6.16237700612077,4.15839359746659,9.30132652008281E-05,0.00256350544895698,1.09361971766229
IRX3,0.820611066407951,4.82285210596554,4.13711223623706,0.000100145023860034,0.0027012648242761,1.02416788577221
ERVMER34-1,0.651098636019904,5.27170684605097,4.12190564136267,0.000105561270477091,0.0028288133962146,0.974668382209003
CIT,0.559075112462751,7.73252737647845,4.09978524419173,0.0001139473497141,0.00298880274532778,0.902854358875445
ARNTL2,0.814138251659346,6.31999580473028,4.08506203053605,0.00011988130261347,0.00311146471783142,0.85518153477758
SKA1,0.739726203119749,4.82745454496226,4.07859993912397,0.00012257879292323,0.00317217981643623,0.83428971564721
RAB38,0.720043162623623,5.74879483610384,4.00490504557094,0.000157785762552367,0.00386549080998753,0.597433455681192
PSRC1,0.607707297056108,7.08545062028973,3.96689637514445,0.000179562850183414,0.00427209947728039,0.476292543084492
EIF5A2,0.502072209197181,5.26075686663952,3.94951961409486,0.000190455366860688,0.0044833515482248,0.42114419567193
RNF166,0.659222045602304,5.90730984611692,3.91505016195036,0.000213970344311155,0.00490096925106501,0.312189615324056
CD44,0.656147322718512,8.79403957976245,3.90041895713873,0.000224772937440632,0.00506974331585307,0.266120312070302
STRIP2,0.577432943943878,4.72035476434109,3.8397741205779,0.000275390740806908,0.00593102167024086,0.0763169287394563
IGKV1D-8,0.659102063918647,5.42714043626574,3.80289242355433,0.000311335427801354,0.00653452275373077,-0.0381963249618718
ENAH,0.584557097903796,4.9614307825432,3.79760187007821,0.000316846163878507,0.00663767377555078,-0.0545652770577449
TBC1D24,0.645112438631974,5.46110182790203,3.79498586642048,0.000319605409976656,0.00667037757710418,-0.0626538166306547
ERC2-IT1,0.500333190465405,4.06225559032528,3.78863837062641,0.000326396371146253,0.00679301008322983,-0.0822651410214732
SORBS2,0.536234799363927,5.41363529972961,3.76667807513298,0.000350971751591886,0.00717044948275203,-0.149951919916977
ANGPTL4,0.509034908192175,6.88372484447721,3.76047940050076,0.000358222677386106,0.00729182888730457,-0.169011993930381
CYB5R2,0.60569900363452,6.77132178223694,3.69351141447702,0.000446258002284289,0.00857269937623063,-0.373632773512687
SUPT5H,0.635567236813402,5.34429013686216,3.65167453333563,0.000511356217247938,0.00947584631369965,-0.500245244814869
SURF1,0.543946702420337,8.46939407451712,3.64356010816886,0.000524988786110161,0.00962584721871705,-0.524692160560723
TAF10,0.717681684237297,6.75825986505353,3.63795257223272,0.000534611244958339,0.00969483535340168,-0.541565367620945
